method,index,x,y,z
initial,0,0,0,0.69999999999999996
initial,1,1,0.71999999999999997,0.73999999999999999
initial,2,2,1.1200000000000001,0.80000000000000004
initial,3,3,0.68000000000000005,0.83999999999999997
initial,4,4,-0.34999999999999998,0.85999999999999999
initial,5,5,-1.02,0.83999999999999997
initial,6,6,-0.57999999999999996,0.80000000000000004
initial,7,7,0.45000000000000001,0.75
initial,8,8,0.22,0.69999999999999996
MINCO,0,0,0,0.69999999999999996
MINCO,1,0.37800128300530111,0.34794798572240743,0.69972365765090228
MINCO,2,1.352409905006934,0.59605011930253915,0.70018522414228945
MINCO,3,2.752537038182616,0.29910228105979192,0.70138647448153857
MINCO,4,4.1723335416616845,-0.19087944515018082,0.70299210113823218
MINCO,5,5.6607042834597436,-0.50178797078918058,0.70418181198307372
MINCO,6,6.5496660647829206,-0.45268671498495011,0.7038984652332958
MINCO,7,7.6660424816490957,-0.023286394046775998,0.70150212193781747
MINCO,8,8,0.22,0.69999999999999996
NUBS,0,0,0,0.69999999999999996
NUBS,1,0.37805154307200062,0.34803925928692581,0.70119921127960883
NUBS,2,1.3531256657579951,0.59609144140160353,0.70389815665135791
NUBS,3,2.7530601785796542,0.29956724623991665,0.70735808856231852
NUBS,4,4.1724429149558064,-0.1900866627224404,0.70977827533221738
NUBS,5,5.6606122085242161,-0.50154217101666398,0.70995533218831386
NUBS,6,6.5493455849539863,-0.45304821031431186,0.70823387813374716
NUBS,7,7.6653354959195026,-0.024119165113334645,0.70274694243917035
NUBS,8,8,0.22,0.69999999999999996
