method,iters,cost,energy,time_cost,corridor_cost,total_time
MINCO,140,169.73609152605533,28.046647266391091,139.88401086888828,1.8054333907759561,5.5953604347555315
NUBS,140,169.73620736855497,28.034950571171819,139.88851956762471,1.8127372297584454,5.5955407827049886
max_position_difference,,,,,,0.0079869490791709304
