method,iter,cost,energy,time_cost,corridor_cost,total_time,grad_norm
MINCO,0,435.37069055405476,235.37069055405476,200,0,8,889.36480740887998
MINCO,1,386.47378371628986,102.72605340796339,283.74739133448958,0.00033897383691494095,11.349895653379583,354.13536327944433
MINCO,2,316.38419576202648,23.652595389685292,292.73160037234118,0,11.709264014893648,125.61032768703046
MINCO,3,291.87460338252055,15.133102821531727,276.74150056098881,0,11.069660022439553,108.12945261478434
MINCO,4,269.06231256132668,56.429887161346251,212.63242539998041,0,8.5052970159992167,273.46994375974356
MINCO,5,246.63392644447677,12.506866835686148,234.12705960879063,0,9.3650823843516253,102.58444483375695
MINCO,6,232.74001168237038,11.951804507120968,220.78820717524943,0,8.8315282870099772,64.105204235447232
MINCO,7,222.88832264768104,22.597823660286259,200.29049898739478,0,8.0116199594957909,81.465567645271079
MINCO,8,216.41691195883556,27.997240984349617,188.41963675131726,3.4223168669180511e-05,7.5367854700526902,137.4392194812547
MINCO,9,209.00465121518184,30.851918591398338,178.02187205646712,0.13086056731637014,7.1208748822586845,90.416789082152135
MINCO,10,206.40488061816285,33.919095691066502,172.07648957295262,0.40929535414370949,6.8830595829181052,117.56676134485367
MINCO,11,203.86546511090677,31.274019307550031,172.27378140392076,0.31766439943598784,6.8909512561568311,58.369072550740633
MINCO,12,201.88320434993815,33.414640752442182,168.01885559515867,0.44970800233729269,6.7207542238063462,82.64014145102162
MINCO,13,198.80817353801984,33.612714872139378,165.02784184196898,0.16761682391147936,6.6011136736787588,109.44649145095583
MINCO,14,193.77497567163692,35.080870838269789,158.5975800264896,0.096524806877551036,6.3439032010595842,101.35136927099951
MINCO,15,189.08059748868237,37.243026966943397,151.72744717487143,0.11012334686754556,6.0690978869948573,154.79765979606759
MINCO,16,186.56639177222888,36.735716575080772,149.15426179849578,0.67641339865233785,5.9661704719398312,193.29028345407463
MINCO,17,180.82472743666332,29.361114094805217,149.61890382757062,1.8447095142874701,5.9847561531028246,142.30719145997924
MINCO,18,178.96654983209436,26.539371574562121,150.9697282982556,1.457449959276635,6.0387891319302236,124.11456697743996
MINCO,19,178.24293662071096,26.145979708126639,149.51706326980027,2.579893642784044,5.9806825307920111,92.347662041570402
MINCO,20,177.66221197899813,25.552725178880308,150.58397037899573,1.5255164211220809,6.0233588151598294,52.500344926650499
MINCO,21,177.07104858411941,25.289514187494895,149.82689217606799,1.9546422205565492,5.9930756870427189,60.94352319143826
MINCO,22,176.4179914392098,25.119688394709737,149.16500973093019,2.1332933135698826,5.9666003892372075,51.837751402694082
MINCO,23,175.18645267519997,25.65243089642837,147.48875503999997,2.0452667387716197,5.8995502015999985,53.109855615943097
MINCO,24,174.55382571602212,26.665137967717811,144.87598899703931,3.012698751264983,5.7950395598815723,149.19996444048036
MINCO,25,173.54854739115052,26.567192932038214,144.69668695230754,2.2846675068047748,5.7878674780923021,57.311250760822141
MINCO,26,173.18744878254705,26.875225580958578,144.12487318533729,2.1873500162511603,5.7649949274134915,34.085287888403847
