s,M,total_time,t,nubs_x,nubs_y,nubs_z,minco_x,minco_y,minco_z,err_d0,err_d1,err_d2,err_d3,err_d4
4,8,8.6099999999999994,0,0.25863752675858848,0.28664186637271483,0.27021980252394712,0.25863752675858848,0.28664186637271483,0.27021980252394712,0,6.1834071692674097e-16,4.4532470143609525e-15,5.4879865091547423e-14,2.7010345425180432e-12
4,8,8.6099999999999994,0.020499999999999997,0.26021476335946181,0.2886709516018523,0.27125596806483243,0.26021476335946181,0.28867095160185219,0.27125596806483238,1.2412670766236366e-16,4.3978575996169791e-16,1.0338251345675849e-14,4.9780597888521348e-14,1.9564584884364705e-12
4,8,8.6099999999999994,0.040999999999999995,0.26182076129284337,0.29072434916989959,0.27229216382509014,0.26182076129284348,0.29072434916989964,0.27229216382509031,2.0770370905276122e-16,4.9065389333867972e-16,8.7074465180469419e-15,7.3378267277076098e-14,1.8237571142839873e-12
4,8,8.6099999999999994,0.061499999999999999,0.26347796482862351,0.29282342822185031,0.27334561279886199,0.26347796482862351,0.29282342822185048,0.2733456127988621,2.0014830212433605e-16,6.522929349331863e-16,1.7936738756247963e-15,6.5720701999532423e-14,1.5417467554165532e-12
4,8,8.6099999999999994,0.08199999999999999,0.26522076843167425,0.2950010323854409,0.27444295648926043,0.26522076843167425,0.2950010323854409,0.27444295648926037,5.5511151231257827e-17,8.6822173448558875e-16,4.3148986034877215e-15,1.0164502582851554e-13,1.1421187106971403e-12
4,8,8.6099999999999994,0.10249999999999999,0.26709328263369564,0.29729932253163749,0.27561848018714757,0.26709328263369564,0.29729932253163754,0.27561848018714774,1.7554167342883506e-16,1.1084000683528569e-15,3.080743865682491e-15,1.275703745965711e-13,7.8810208765129684e-13
4,8,8.6099999999999994,0.123,0.26914726736047839,0.29976778149769195,0.2769124715176044,0.26914726736047834,0.29976778149769212,0.27691247151760462,2.8305244335018379e-16,8.9174910935615156e-16,4.5519144009631418e-15,1.5596069104612444e-13,6.5019513574892359e-13
4,8,8.6099999999999994,0.14349999999999999,0.27144022744077795,0.30246137566940767,0.27836970805850564,0.27144022744077795,0.30246137566940767,0.27836970805850564,0,7.3656938935438003e-16,6.1963972896598502e-15,1.3775644426304222e-13,3.471902961797629e-13
4,8,8.6099999999999994,0.16399999999999998,0.27403366502300008,0.30543886831926353,0.28003806983562557,0.27403366502300008,0.30543886831926365,0.28003806983562574,2.0014830212433605e-16,8.6722294900631844e-16,1.0056561700683913e-14,1.9497488818460843e-13,2.7126690564814795e-13
4,8,8.6099999999999994,0.1845,0.27699148362588916,0.30876127959704097,0.28196727249869169,0.27699148362588893,0.30876127959704097,0.28196727249869158,2.4825341532472731e-16,8.4152506828447286e-16,1.1671607325915034e-14,1.8739512282025527e-13,2.1413804873005003e-13
